object_id	scene_composition	count_bucket	target_count	parent_case_index	parent_case_name	example_case_name	counterfactual_kind	example_scene_input
10012	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10012__case006_entry_right__cf_no_collision_neg/scene_input.json
10012	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10012__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10012	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10012__case901_high_drop__cf_no_collision_neg/scene_input.json
10013	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10013__case005_entry_left__cf_no_collision_neg/scene_input.json
10013	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10013__case006_entry_right__cf_no_collision_neg/scene_input.json
10013	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10013__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10015	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10015__case005_entry_left__cf_no_collision_neg/scene_input.json
10015	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10015__case006_entry_right__cf_no_collision_neg/scene_input.json
10015	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10015__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10015	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10015__case901_high_drop__cf_no_collision_neg/scene_input.json
10016	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10016__case900_random_parabola__cf_no_collision_neg/scene_input.json
10016	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10016__case901_high_drop__cf_no_collision_neg/scene_input.json
10017	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10017__case900_random_parabola__cf_no_collision_neg/scene_input.json
10017	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10017__case901_high_drop__cf_no_collision_neg/scene_input.json
1002	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1002__case005_entry_left__cf_no_collision_neg/scene_input.json
1002	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1002__case006_entry_right__cf_no_collision_neg/scene_input.json
1002	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1002__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
1002	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1002__case901_high_drop__cf_no_collision_neg/scene_input.json
10021	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10021__case900_random_parabola__cf_no_collision_neg/scene_input.json
10021	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10021__case901_high_drop__cf_no_collision_neg/scene_input.json
10022	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10022__case900_random_parabola__cf_no_collision_neg/scene_input.json
10022	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10022__case901_high_drop__cf_no_collision_neg/scene_input.json
10023	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10023__case005_entry_left__cf_no_collision_neg/scene_input.json
10023	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10023__case006_entry_right__cf_no_collision_neg/scene_input.json
10023	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10023__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10023	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10023__case900_random_parabola__cf_no_collision_neg/scene_input.json
10023	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10023__case901_high_drop__cf_no_collision_neg/scene_input.json
10025	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10025__case005_entry_left__cf_no_collision_neg/scene_input.json
10025	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10025__case006_entry_right__cf_no_collision_neg/scene_input.json
10025	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10025__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10025	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10025__case900_random_parabola__cf_no_collision_neg/scene_input.json
10025	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10025__case901_high_drop__cf_no_collision_neg/scene_input.json
10026	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10026__case005_entry_left__cf_no_collision_neg/scene_input.json
10026	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10026__case006_entry_right__cf_no_collision_neg/scene_input.json
10026	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10026__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10026	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10026__case901_high_drop__cf_no_collision_neg/scene_input.json
10027	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10027__case900_random_parabola__cf_no_collision_neg/scene_input.json
10027	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10027__case901_high_drop__cf_no_collision_neg/scene_input.json
1003	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1003__case005_entry_left__cf_no_collision_neg/scene_input.json
1003	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1003__case006_entry_right__cf_no_collision_neg/scene_input.json
1003	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1003__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
1003	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1003__case900_random_parabola__cf_no_collision_neg/scene_input.json
1003	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1003__case901_high_drop__cf_no_collision_neg/scene_input.json
10032	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10032__case900_random_parabola__cf_no_collision_neg/scene_input.json
10032	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10032__case901_high_drop__cf_no_collision_neg/scene_input.json
10033	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10033__case900_random_parabola__cf_no_collision_neg/scene_input.json
10033	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10033__case901_high_drop__cf_no_collision_neg/scene_input.json
10034	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10034__case005_entry_left__cf_no_collision_neg/scene_input.json
10034	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10034__case006_entry_right__cf_no_collision_neg/scene_input.json
10035	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10035__case005_entry_left__cf_no_collision_neg/scene_input.json
10035	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10035__case006_entry_right__cf_no_collision_neg/scene_input.json
10036	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10036__case900_random_parabola__cf_no_collision_neg/scene_input.json
10036	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10036__case901_high_drop__cf_no_collision_neg/scene_input.json
10037	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10037__case005_entry_left__cf_no_collision_neg/scene_input.json
10037	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10037__case006_entry_right__cf_no_collision_neg/scene_input.json
10037	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10037__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10039	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10039__case900_random_parabola__cf_no_collision_neg/scene_input.json
10039	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10039__case901_high_drop__cf_no_collision_neg/scene_input.json
1004	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1004__case005_entry_left__cf_no_collision_neg/scene_input.json
1004	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1004__case006_entry_right__cf_no_collision_neg/scene_input.json
1004	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1004__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10040	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10040__case005_entry_left__cf_no_collision_neg/scene_input.json
10040	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10040__case006_entry_right__cf_no_collision_neg/scene_input.json
10040	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10040__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10042	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10042__case900_random_parabola__cf_no_collision_neg/scene_input.json
10042	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10042__case901_high_drop__cf_no_collision_neg/scene_input.json
10044	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10044__case900_random_parabola__cf_no_collision_neg/scene_input.json
10044	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10044__case901_high_drop__cf_no_collision_neg/scene_input.json
10045	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10045__case900_random_parabola__cf_no_collision_neg/scene_input.json
10045	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10045__case901_high_drop__cf_no_collision_neg/scene_input.json
